nohup: ignoring input
[full] 420 runs target on 6 7 (resumable: skips completed)
=== frame tier: 200f ===
  [17:29:42] GPU6 P1-mechC-r0.5 redkitchen/seq-03 f200 s1
  [17:29:42] GPU7 P1-mechC-r0.5 redkitchen/seq-03 f200 s2
  [17:31:53] GPU6 P1-mechC-r0.5 redkitchen/seq-03 f200 s3
  [17:31:53] GPU7 P1-mechC-r0.5 redkitchen/seq-03 f200 s4
=== 200f tier complete: 140 JSONs present ===
=== frame tier: 500f ===
  [17:34:04] GPU6 P1-none chess/seq-03 f500 s0
  [17:34:04] GPU7 P1-none chess/seq-03 f500 s1
  [17:40:15] GPU6 P1-none chess/seq-03 f500 s2
  [17:40:15] GPU7 P1-none chess/seq-03 f500 s3
  [17:46:27] GPU6 P1-none chess/seq-03 f500 s4
  [17:46:27] GPU7 P1-none fire/seq-03 f500 s0
  [17:52:40] GPU6 P1-none fire/seq-03 f500 s1
  [17:52:40] GPU7 P1-none fire/seq-03 f500 s2
  [17:58:59] GPU6 P1-none fire/seq-03 f500 s3
  [17:58:59] GPU7 P1-none fire/seq-03 f500 s4
  [18:05:16] GPU6 P1-none office/seq-03 f500 s0
  [18:05:16] GPU7 P1-none office/seq-03 f500 s1
  [18:11:40] GPU6 P1-none office/seq-03 f500 s2
  [18:11:40] GPU7 P1-none office/seq-03 f500 s3
  [18:18:01] GPU6 P1-none office/seq-03 f500 s4
  [18:18:01] GPU7 P1-none redkitchen/seq-03 f500 s0
  [18:24:25] GPU6 P1-none redkitchen/seq-03 f500 s1
  [18:24:25] GPU7 P1-none redkitchen/seq-03 f500 s2
  [18:30:38] GPU6 P1-none redkitchen/seq-03 f500 s3
  [18:30:38] GPU7 P1-none redkitchen/seq-03 f500 s4
  [18:36:55] GPU6 P1-current chess/seq-03 f500 s0
  [18:36:55] GPU7 P1-current chess/seq-03 f500 s1
  [18:42:19] GPU6 P1-current chess/seq-03 f500 s2
  [18:42:19] GPU7 P1-current chess/seq-03 f500 s3
  [18:47:38] GPU6 P1-current chess/seq-03 f500 s4
  [18:47:38] GPU7 P1-current fire/seq-03 f500 s0
  [18:53:02] GPU6 P1-current fire/seq-03 f500 s1
  [18:53:02] GPU7 P1-current fire/seq-03 f500 s2
  [18:58:16] GPU6 P1-current fire/seq-03 f500 s3
  [18:58:16] GPU7 P1-current fire/seq-03 f500 s4
  [19:03:35] GPU6 P1-current office/seq-03 f500 s0
  [19:03:35] GPU7 P1-current office/seq-03 f500 s1
  [19:08:58] GPU6 P1-current office/seq-03 f500 s2
  [19:08:58] GPU7 P1-current office/seq-03 f500 s3
  [19:14:20] GPU6 P1-current office/seq-03 f500 s4
  [19:14:20] GPU7 P1-current redkitchen/seq-03 f500 s0
  [19:19:42] GPU6 P1-current redkitchen/seq-03 f500 s1
  [19:19:42] GPU7 P1-current redkitchen/seq-03 f500 s2
  [19:25:03] GPU6 P1-current redkitchen/seq-03 f500 s3
  [19:25:03] GPU7 P1-current redkitchen/seq-03 f500 s4
  [19:30:25] GPU6 P1-v1cap chess/seq-03 f500 s0
  [19:30:25] GPU7 P1-v1cap chess/seq-03 f500 s1
  [19:35:46] GPU6 P1-v1cap chess/seq-03 f500 s2
  [19:35:46] GPU7 P1-v1cap chess/seq-03 f500 s3
  [19:41:08] GPU6 P1-v1cap chess/seq-03 f500 s4
  [19:41:08] GPU7 P1-v1cap fire/seq-03 f500 s0
  [19:46:28] GPU6 P1-v1cap fire/seq-03 f500 s1
  [19:46:28] GPU7 P1-v1cap fire/seq-03 f500 s2
  [19:51:45] GPU6 P1-v1cap fire/seq-03 f500 s3
  [19:51:45] GPU7 P1-v1cap fire/seq-03 f500 s4
  [19:57:06] GPU6 P1-v1cap office/seq-03 f500 s0
  [19:57:06] GPU7 P1-v1cap office/seq-03 f500 s1
  [20:02:26] GPU6 P1-v1cap office/seq-03 f500 s2
  [20:02:26] GPU7 P1-v1cap office/seq-03 f500 s3
  [20:07:46] GPU6 P1-v1cap office/seq-03 f500 s4
  [20:07:46] GPU7 P1-v1cap redkitchen/seq-03 f500 s0
  [20:13:10] GPU6 P1-v1cap redkitchen/seq-03 f500 s1
  [20:13:10] GPU7 P1-v1cap redkitchen/seq-03 f500 s2
  [20:18:31] GPU6 P1-v1cap redkitchen/seq-03 f500 s3
  [20:18:31] GPU7 P1-v1cap redkitchen/seq-03 f500 s4
  [20:23:52] GPU6 P1-mechC-r0.1 chess/seq-03 f500 s0
  [20:23:52] GPU7 P1-mechC-r0.1 chess/seq-03 f500 s1
  [20:30:12] GPU6 P1-mechC-r0.1 chess/seq-03 f500 s2
  [20:30:12] GPU7 P1-mechC-r0.1 chess/seq-03 f500 s3
  [20:36:27] GPU6 P1-mechC-r0.1 chess/seq-03 f500 s4
  [20:36:27] GPU7 P1-mechC-r0.1 fire/seq-03 f500 s0
  [20:42:47] GPU6 P1-mechC-r0.1 fire/seq-03 f500 s1
  [20:42:47] GPU7 P1-mechC-r0.1 fire/seq-03 f500 s2
  [20:49:09] GPU6 P1-mechC-r0.1 fire/seq-03 f500 s3
  [20:49:09] GPU7 P1-mechC-r0.1 fire/seq-03 f500 s4
  [20:55:29] GPU6 P1-mechC-r0.1 office/seq-03 f500 s0
  [20:55:29] GPU7 P1-mechC-r0.1 office/seq-03 f500 s1
  [21:01:48] GPU6 P1-mechC-r0.1 office/seq-03 f500 s2
  [21:01:48] GPU7 P1-mechC-r0.1 office/seq-03 f500 s3
  [21:08:16] GPU6 P1-mechC-r0.1 office/seq-03 f500 s4
  [21:08:16] GPU7 P1-mechC-r0.1 redkitchen/seq-03 f500 s0
  [21:14:35] GPU6 P1-mechC-r0.1 redkitchen/seq-03 f500 s1
  [21:14:35] GPU7 P1-mechC-r0.1 redkitchen/seq-03 f500 s2
  [21:20:51] GPU6 P1-mechC-r0.1 redkitchen/seq-03 f500 s3
  [21:20:51] GPU7 P1-mechC-r0.1 redkitchen/seq-03 f500 s4
  [21:27:21] GPU6 P1-mechC-r0.2 chess/seq-03 f500 s0
  [21:27:21] GPU7 P1-mechC-r0.2 chess/seq-03 f500 s1
  [21:32:54] GPU6 P1-mechC-r0.2 chess/seq-03 f500 s2
  [21:32:54] GPU7 P1-mechC-r0.2 chess/seq-03 f500 s3
  [21:38:21] GPU6 P1-mechC-r0.2 chess/seq-03 f500 s4
  [21:38:21] GPU7 P1-mechC-r0.2 fire/seq-03 f500 s0
  [21:44:36] GPU6 P1-mechC-r0.2 fire/seq-03 f500 s1
  [21:44:36] GPU7 P1-mechC-r0.2 fire/seq-03 f500 s2
  [21:50:49] GPU6 P1-mechC-r0.2 fire/seq-03 f500 s3
  [21:50:49] GPU7 P1-mechC-r0.2 fire/seq-03 f500 s4
  [21:57:10] GPU6 P1-mechC-r0.2 office/seq-03 f500 s0
  [21:57:10] GPU7 P1-mechC-r0.2 office/seq-03 f500 s1
  [22:03:17] GPU6 P1-mechC-r0.2 office/seq-03 f500 s2
  [22:03:17] GPU7 P1-mechC-r0.2 office/seq-03 f500 s3
  [22:09:26] GPU6 P1-mechC-r0.2 office/seq-03 f500 s4
  [22:09:26] GPU7 P1-mechC-r0.2 redkitchen/seq-03 f500 s0
  [22:15:34] GPU6 P1-mechC-r0.2 redkitchen/seq-03 f500 s1
  [22:15:34] GPU7 P1-mechC-r0.2 redkitchen/seq-03 f500 s2
  [22:21:44] GPU6 P1-mechC-r0.2 redkitchen/seq-03 f500 s3
  [22:21:44] GPU7 P1-mechC-r0.2 redkitchen/seq-03 f500 s4
  [22:27:51] GPU6 P1-mechC-r0.3 chess/seq-03 f500 s0
  [22:27:51] GPU7 P1-mechC-r0.3 chess/seq-03 f500 s1
  [22:33:26] GPU6 P1-mechC-r0.3 chess/seq-03 f500 s2
  [22:33:26] GPU7 P1-mechC-r0.3 chess/seq-03 f500 s3
  [22:39:03] GPU6 P1-mechC-r0.3 chess/seq-03 f500 s4
  [22:39:03] GPU7 P1-mechC-r0.3 fire/seq-03 f500 s0
  [22:44:30] GPU6 P1-mechC-r0.3 fire/seq-03 f500 s1
  [22:44:30] GPU7 P1-mechC-r0.3 fire/seq-03 f500 s2
  [22:49:51] GPU6 P1-mechC-r0.3 fire/seq-03 f500 s3
  [22:49:51] GPU7 P1-mechC-r0.3 fire/seq-03 f500 s4
  [22:55:15] GPU6 P1-mechC-r0.3 office/seq-03 f500 s0
  [22:55:15] GPU7 P1-mechC-r0.3 office/seq-03 f500 s1
  [23:00:46] GPU6 P1-mechC-r0.3 office/seq-03 f500 s2
  [23:00:46] GPU7 P1-mechC-r0.3 office/seq-03 f500 s3
  [23:06:14] GPU6 P1-mechC-r0.3 office/seq-03 f500 s4
  [23:06:14] GPU7 P1-mechC-r0.3 redkitchen/seq-03 f500 s0
  [23:11:41] GPU6 P1-mechC-r0.3 redkitchen/seq-03 f500 s1
  [23:11:41] GPU7 P1-mechC-r0.3 redkitchen/seq-03 f500 s2
  [23:17:05] GPU6 P1-mechC-r0.3 redkitchen/seq-03 f500 s3
  [23:17:05] GPU7 P1-mechC-r0.3 redkitchen/seq-03 f500 s4
  [23:22:27] GPU6 P1-mechC-r0.5 chess/seq-03 f500 s0
  [23:22:27] GPU7 P1-mechC-r0.5 chess/seq-03 f500 s1
  [23:27:50] GPU6 P1-mechC-r0.5 chess/seq-03 f500 s2
  [23:27:50] GPU7 P1-mechC-r0.5 chess/seq-03 f500 s3
  [23:33:15] GPU6 P1-mechC-r0.5 chess/seq-03 f500 s4
  [23:33:15] GPU7 P1-mechC-r0.5 fire/seq-03 f500 s0
  [23:38:35] GPU6 P1-mechC-r0.5 fire/seq-03 f500 s1
  [23:38:35] GPU7 P1-mechC-r0.5 fire/seq-03 f500 s2
  [23:43:54] GPU6 P1-mechC-r0.5 fire/seq-03 f500 s3
  [23:43:54] GPU7 P1-mechC-r0.5 fire/seq-03 f500 s4
  [23:49:09] GPU6 P1-mechC-r0.5 office/seq-03 f500 s0
  [23:49:09] GPU7 P1-mechC-r0.5 office/seq-03 f500 s1
  [23:54:33] GPU6 P1-mechC-r0.5 office/seq-03 f500 s2
  [23:54:33] GPU7 P1-mechC-r0.5 office/seq-03 f500 s3
  [23:59:51] GPU6 P1-mechC-r0.5 office/seq-03 f500 s4
  [23:59:51] GPU7 P1-mechC-r0.5 redkitchen/seq-03 f500 s0
  [00:05:13] GPU6 P1-mechC-r0.5 redkitchen/seq-03 f500 s1
  [00:05:13] GPU7 P1-mechC-r0.5 redkitchen/seq-03 f500 s2
  [00:10:36] GPU6 P1-mechC-r0.5 redkitchen/seq-03 f500 s3
  [00:10:36] GPU7 P1-mechC-r0.5 redkitchen/seq-03 f500 s4
=== 500f tier complete: 140 JSONs present ===
=== frame tier: 1000f ===
  [00:15:56] GPU6 P1-none chess/seq-03 f1000 s0
  [00:15:56] GPU7 P1-none chess/seq-03 f1000 s1
  [00:31:42] GPU6 P1-none chess/seq-03 f1000 s2
  [00:31:42] GPU7 P1-none chess/seq-03 f1000 s3
  [00:47:26] GPU6 P1-none chess/seq-03 f1000 s4
  [00:47:26] GPU7 P1-none fire/seq-03 f1000 s0
  [01:03:42] GPU6 P1-none fire/seq-03 f1000 s1
  [01:03:42] GPU7 P1-none fire/seq-03 f1000 s2
  [01:19:24] GPU6 P1-none fire/seq-03 f1000 s3
  [01:19:24] GPU7 P1-none fire/seq-03 f1000 s4
  [01:35:31] GPU6 P1-none office/seq-03 f1000 s0
  [01:35:31] GPU7 P1-none office/seq-03 f1000 s1
  [01:51:26] GPU6 P1-none office/seq-03 f1000 s2
  [01:51:26] GPU7 P1-none office/seq-03 f1000 s3
  [02:07:22] GPU6 P1-none office/seq-03 f1000 s4
  [02:07:22] GPU7 P1-none redkitchen/seq-03 f1000 s0
  [02:23:34] GPU6 P1-none redkitchen/seq-03 f1000 s1
  [02:23:34] GPU7 P1-none redkitchen/seq-03 f1000 s2
  [02:40:05] GPU6 P1-none redkitchen/seq-03 f1000 s3
  [02:40:05] GPU7 P1-none redkitchen/seq-03 f1000 s4
  [02:56:05] GPU6 P1-current chess/seq-03 f1000 s0
  [02:56:05] GPU7 P1-current chess/seq-03 f1000 s1
  [03:06:54] GPU6 P1-current chess/seq-03 f1000 s2
  [03:06:54] GPU7 P1-current chess/seq-03 f1000 s3
  [03:17:59] GPU6 P1-current chess/seq-03 f1000 s4
  [03:17:59] GPU7 P1-current fire/seq-03 f1000 s0
  [03:28:56] GPU6 P1-current fire/seq-03 f1000 s1
  [03:28:56] GPU7 P1-current fire/seq-03 f1000 s2
  [03:39:48] GPU6 P1-current fire/seq-03 f1000 s3
  [03:39:48] GPU7 P1-current fire/seq-03 f1000 s4
  [03:50:41] GPU6 P1-current office/seq-03 f1000 s0
  [03:50:41] GPU7 P1-current office/seq-03 f1000 s1
  [04:01:35] GPU6 P1-current office/seq-03 f1000 s2
  [04:01:35] GPU7 P1-current office/seq-03 f1000 s3
  [04:12:36] GPU6 P1-current office/seq-03 f1000 s4
  [04:12:36] GPU7 P1-current redkitchen/seq-03 f1000 s0
  [04:23:30] GPU6 P1-current redkitchen/seq-03 f1000 s1
  [04:23:30] GPU7 P1-current redkitchen/seq-03 f1000 s2
  [04:34:32] GPU6 P1-current redkitchen/seq-03 f1000 s3
  [04:34:32] GPU7 P1-current redkitchen/seq-03 f1000 s4
  [04:45:26] GPU6 P1-v1cap chess/seq-03 f1000 s0
  [04:45:26] GPU7 P1-v1cap chess/seq-03 f1000 s1
  [04:56:11] GPU6 P1-v1cap chess/seq-03 f1000 s2
  [04:56:11] GPU7 P1-v1cap chess/seq-03 f1000 s3
  [05:07:02] GPU6 P1-v1cap chess/seq-03 f1000 s4
  [05:07:02] GPU7 P1-v1cap fire/seq-03 f1000 s0
  [05:18:01] GPU6 P1-v1cap fire/seq-03 f1000 s1
  [05:18:01] GPU7 P1-v1cap fire/seq-03 f1000 s2
  [05:28:57] GPU6 P1-v1cap fire/seq-03 f1000 s3
  [05:28:57] GPU7 P1-v1cap fire/seq-03 f1000 s4
  [05:40:01] GPU6 P1-v1cap office/seq-03 f1000 s0
  [05:40:01] GPU7 P1-v1cap office/seq-03 f1000 s1
  [05:50:45] GPU6 P1-v1cap office/seq-03 f1000 s2
  [05:50:45] GPU7 P1-v1cap office/seq-03 f1000 s3
  [06:01:22] GPU6 P1-v1cap office/seq-03 f1000 s4
  [06:01:22] GPU7 P1-v1cap redkitchen/seq-03 f1000 s0
  [06:12:35] GPU6 P1-v1cap redkitchen/seq-03 f1000 s1
  [06:12:35] GPU7 P1-v1cap redkitchen/seq-03 f1000 s2
  [06:23:32] GPU6 P1-v1cap redkitchen/seq-03 f1000 s3
  [06:23:32] GPU7 P1-v1cap redkitchen/seq-03 f1000 s4
  [06:34:30] GPU6 P1-mechC-r0.1 chess/seq-03 f1000 s0
  [06:34:30] GPU7 P1-mechC-r0.1 chess/seq-03 f1000 s1
  [06:50:16] GPU6 P1-mechC-r0.1 chess/seq-03 f1000 s2
  [06:50:16] GPU7 P1-mechC-r0.1 chess/seq-03 f1000 s3
  [07:06:05] GPU6 P1-mechC-r0.1 chess/seq-03 f1000 s4
  [07:06:05] GPU7 P1-mechC-r0.1 fire/seq-03 f1000 s0
  [07:22:25] GPU6 P1-mechC-r0.1 fire/seq-03 f1000 s1
  [07:22:25] GPU7 P1-mechC-r0.1 fire/seq-03 f1000 s2
  [07:38:54] GPU6 P1-mechC-r0.1 fire/seq-03 f1000 s3
  [07:38:54] GPU7 P1-mechC-r0.1 fire/seq-03 f1000 s4
  [07:55:32] GPU6 P1-mechC-r0.1 office/seq-03 f1000 s0
  [07:55:32] GPU7 P1-mechC-r0.1 office/seq-03 f1000 s1
  [08:11:39] GPU6 P1-mechC-r0.1 office/seq-03 f1000 s2
  [08:11:39] GPU7 P1-mechC-r0.1 office/seq-03 f1000 s3
  [08:27:59] GPU6 P1-mechC-r0.1 office/seq-03 f1000 s4
  [08:27:59] GPU7 P1-mechC-r0.1 redkitchen/seq-03 f1000 s0
  [08:43:57] GPU6 P1-mechC-r0.1 redkitchen/seq-03 f1000 s1
  [08:43:58] GPU7 P1-mechC-r0.1 redkitchen/seq-03 f1000 s2
  [08:59:59] GPU6 P1-mechC-r0.1 redkitchen/seq-03 f1000 s3
  [08:59:59] GPU7 P1-mechC-r0.1 redkitchen/seq-03 f1000 s4
  [09:15:42] GPU6 P1-mechC-r0.2 chess/seq-03 f1000 s0
  [09:15:42] GPU7 P1-mechC-r0.2 chess/seq-03 f1000 s1
  [09:29:33] GPU6 P1-mechC-r0.2 chess/seq-03 f1000 s2
  [09:29:33] GPU7 P1-mechC-r0.2 chess/seq-03 f1000 s3
  [09:43:14] GPU6 P1-mechC-r0.2 chess/seq-03 f1000 s4
  [09:43:14] GPU7 P1-mechC-r0.2 fire/seq-03 f1000 s0
  [09:57:39] GPU6 P1-mechC-r0.2 fire/seq-03 f1000 s1
  [09:57:39] GPU7 P1-mechC-r0.2 fire/seq-03 f1000 s2
  [10:12:10] GPU6 P1-mechC-r0.2 fire/seq-03 f1000 s3
  [10:12:10] GPU7 P1-mechC-r0.2 fire/seq-03 f1000 s4
  [10:26:39] GPU6 P1-mechC-r0.2 office/seq-03 f1000 s0
  [10:26:39] GPU7 P1-mechC-r0.2 office/seq-03 f1000 s1
  [10:39:59] GPU6 P1-mechC-r0.2 office/seq-03 f1000 s2
  [10:39:59] GPU7 P1-mechC-r0.2 office/seq-03 f1000 s3
  [10:53:18] GPU6 P1-mechC-r0.2 office/seq-03 f1000 s4
  [10:53:18] GPU7 P1-mechC-r0.2 redkitchen/seq-03 f1000 s0
  [11:07:19] GPU6 P1-mechC-r0.2 redkitchen/seq-03 f1000 s1
  [11:07:19] GPU7 P1-mechC-r0.2 redkitchen/seq-03 f1000 s2
  [11:21:37] GPU6 P1-mechC-r0.2 redkitchen/seq-03 f1000 s3
